text,label
"""Toyota Vios Gen 4:
🤫ssssssttt!!!! (suara diam)",positif
Vios adalah versi sedan dari Veloz krn dasbornya mirip Veloz.,positif
Radius putarnya masih boros gak ya...kayak vios gen 3. Pe er banget klo mau putar arah,negatif
"Iya, mungkin tahun ini atau tahun depan",negatif
"@HAEMEN4  ngapain beli toyota bro, mending beli raize",negatif
Nah tampilan 👌,positif
Vios yang paling laku vios gen 1 dan gen 2,positif
Keren nie sihh,positif
Civic versi toyota hahahha,negatif
Warna itemnya pasti cakep,positif
"kan 1 mesin buat rame2, avanza, veloz, xenia, rush, terios dll",netral
JD pengen ganti Ayla dengan vios,positif
Vios bukan lagi taxi 😎,positif
Udah bagus gini masih ada aja yg malu pake. Cuma gegara cap mobil taksi. Pola pikir yg nyeleneh,positif
Cakep warna hitamnya😍,positif
"Ngak ada fog Lamp depan dan belakang......... 😒😒😒, Jepang emang kadang2, Makin canggih sektor lain, Yg existing malah di hilangkan... 😒😒😒",negatif
"SEMOGA TAUN DEPAN BISA KEBELI MOBIL INI,AMIN",positif
Suhu ... mo tanya Toyota Vios AT atau CVT y ...,netral
Ngeri ngeri sedap ga sih kl beli ini eh trs dipake Taxi lgi 😢,negatif
Kalah power aja kali ya dgn Bu Siti,negatif
"jadi keren vios sekarang ya, model desainnya lebih ke eropa dan mirip bgt sama Lexus",positif
"""Tipe E saja masih menggoda sekali, salah satunya adalah pedal kopling yang ada di sebelah kiri, pedal kegemaran yang sering diinjak setelah pedal gas

Inilah yang paling kusukai dari Toyota Vios Tipe E walaupun bukan varian yang paling dipakai sebagai armada taksi tapi sangat menggoda untuk dikendarai sendiri bahkan orang lain sekalipun",positif
Harga ny brp baru ny itu bg?,netral
Keren tapi sayangnya untuk taxi,positif
Ok jugak mobilnya mantap,positif
Avanza gepenk😂,negatif
"""Lompatan jauh ya utk Vios kekinian
👍👍",positif
"Depan Camry, samping & belakang BMW, interior Mazda, velgnya BMW banget. Cmiiw",negatif
wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw,positif
"padahal naksir sama vios gen4 ini, pas liat reviewnya kecewa karna OM MOBI MANA ?!!!! OM MOBI REVIEW ULANG LAH PLEASE 🙏",positif
"Malah downgrade ini, bahan daihatsu. Banyak common part sama xenia rocky",negatif
Harga..,netral
Tetep ajah Vios mobil taxi yang berimbang d masyrkt,negatif
Anying toyota race mobil paan tuh,negatif
Niru honda new BRV haha,negatif
tetap beraroma taxi,negatif
"""vios  makin mengembangkqn fitur2 nya.
yg bagus2  ya..",positif
Ini kenapa headrest belakang jadi paten? Down grade nih...,negatif
Naahh...begini seharusnya Vios 👍👍,positif
Yaah kita tau Toyota males berinovasi dan harga mkin Overprice. Semoga dgn hadirnya wuling bisa bkin mereka buka mata,negatif
Design luarannya lebih uncle2,negatif
"""kok boros ya 11.2 Km/L. padahal CVT.

Vios Gen 1 Saya selalu 15 Km/L.",negatif
Keren,positif
Fake taxy,negatif
"MANTAP, Lawa",positif
Kekurangannya di bagian belakang sempit,negatif
Aku pilih Vios sih kalo dari Desain,positif
Pertanyaan: Siapakah yang menyalakan mesin dan lampunya?,netral
Klau ada panoramic sunroff.keren nih vios,positif
Pajaknya kisaran brp ya,netral
Perfect 🫰🫰🫰🫰,positif
"Avanza,vios kesan taxi",negatif
"kalau saya malah suka bagian ini. Memang tidak selalu saya tonton, tapi untuk mobil yang ingin saya beli pasti saya cek detail speedometernya di video om B",positif
"Bang gk ad trnmisi mnualnya,",netral
selama pendapatan ikut nambah sih gak masalah,netral
"Empuk,enak buat bawa tamu",positif
"@HAEMEN4  ngapain beli toyota bro, mending beli raize",negatif
City… nyamannn,negatif
belakangnya bagus... depannya ga banget.. gua rasa akan lebih bagus klo posisi lampu depan di hilangkan.. lampunya pindah ke GARIS melintang yg nempel logo itu ( kayak mobil listrik ) pasti lebih bagus.  gua udah coba hapus posisi lampu depan pake photoshop dna bikin garis melintang itu lampu LED jadinya KEREN kayak mobil pininfarina,positif
Lekukan nya manis bgt,positif
"Warna hitam itu warna nomber one buat saya,   sk dng mode vios ini",positif
ganteng banget,positif
Cek harga & Pajak tahunan nya,netral
"@xtmilo23  😊 yg lebih lega Wuling, sesuaikan kebutuhan .",negatif
Aku pilih Vios sih kalo dari Desain,positif
Toyota vios g tss,netral
"Klw di tanya mobil mu apa, vios, pasti di bilang mobil taxi ya, hehe😂",netral
Cakep banget ni mobil jadi pengen beli tapi belum ada uang 😁,positif
"Wih mantap toyota, vios makin keren",positif
"Jadi mikir, apakah akan ada vios gr?",netral
"cakep ya, tp sedikit di jalan",positif
ya tuhan pantes ayah aku ngomong terus terusan pengen mobil vios ternyata mobil nya emamg se bagus itu simpel ganteng mobil nya gak berlebihan❤,positif
"klo design gw lebih suka design nya ini sih dibanding city, aksen2 ny sporty bgt",positif
Ini baru Toyota Vios Semoga tidak jadi taksi lagi,positif
cakep bgt sih menurut saya 😂,positif
Wah-wah ternyata harga Vios termahal dengan segudang fitur masih lebih murah dari Honda City lho.,positif
Asslamualaikum warohmautullah hi wabarokatuh,netral
"@weeeklyindonesia0630 mungkin ngk kepake buat bbrp orang. cuman kn klo ada, bagus aja. tombol2 ny lengkap. enak dilihat",positif
"Mending beli vios baru atau Pajero Sport Dakar 2016/2017 second  ? 
Secara harga mirip""",netral
kayak Avanza baru versi sedannya.,negatif
@boy_92  mantab bos kl gt 👍,positif
The real Daihatsu Classy,negatif
"Sayang banget ga TNGA, tapi okelah bisa jadi whislist 2023.",negatif
"Belum 100% lengkap sih, minus front defogger aja. Tapi masih lebih baik daripada Veloz yg gaada arah semburan AC sama sekali.",negatif
lebih enak di liat MG 5 GT,negatif
Tetep aja males klo namanya masih vios,negatif
Ini sama hrv bgus mana,netral
Tampang depannya aneh,negatif
"​ @Azhariputra666  yaelah kaum mendang mending. Punya duit mending ambil camry lah, masa beli toyota, uda pasaran.",negatif
Awesome,positif
"Emang sekarang rata-rata mobil sekarang bakal pake fitur safety sensenya. Dan kalau chip semi konduktornya udah aman, kemungkinan fitur ini bakalan jadi fitur standarnya di semua varian mobil",netral
"Cakep interiornya dan modern juga, kalau yang di Thailand itu bahan kulit doortrim dan dashboard berwarna merah jadi ngingetin Mazda 3 Hatchback. Oh iya, TSS sekarang sepaket dengan 6 airbagnya bukan hanya sekedar radar-radar.",positif
Adaptive Cruise control apa sudah low speed follow,netral
Avanza versi sedan,negatif
Seat belt nya jd gk bisa naik turun lagi y 😂😂😂,negatif
"""Jok belakang tidak bisa dilipat lagi? 
Buset... downgrade gitu?",negatif
Ini baru Daihatsu Classy,negatif
Min brp pajak pertahun nya min,netral
Mirip2 Audi A6 jadul eksteriornya … 😂😂😂,negatif
"Vios yang ini keliatan beda... kaya BMW, bukan kayak Vios lagi..",negatif
Keren,positif
Vios masa.kini semakin cakep,positif
"""vios sama altis makin ganteng sekarang.

keren emang toyota",positif
Nah gitu dong👍🏼,positif
"tunggu varian GR nya.. bakal Keren Abizzz, ga kalah sama AGYA GR",positif
Cakep bngt Vios yg skg ...,positif
Mas kalau mau beli vios baru mungkin bisa ke aku 🙏🏻,positif
Gen 3/4 versi vios yang paling sangar 😄,positif
Mobil Taksi bisa secanggih ini ?,positif
Sudah bukan mobil taksi ☝️😳,positif
"Tetap aja ngk ada foglamp, suasana interior, jok dan multi display kurang greget.",negatif
Jadi lebih keren macem kya camry,positif
Ko keren sih ni mobil....,positif
